,author,published_at,updated_at,like_count,text
68,@user-om5sq7dg5o,2024-06-14T05:55:26Z,2024-06-14T05:55:26Z,0,China. Chudwane jaegi
69,@taherkureshi,2024-06-14T05:55:23Z,2024-06-14T05:55:23Z,0,рд?рдмре? рд?рдзре? рд?рд╛рдлрд┐рд░ рд?ре? рд?реНрдпрд╛ рдмрд╛рдд рд?рд░рддрд╛ рд╣ре? рд╕ре?рд?рд░ рд?рд╛ рд?ре?рд╢реНрдд рд?рд░ рд╢рд░рд╛рдм рдкре?рдире? рд╡рд╛рд▓рд╛ рддреБрдореНрд╣рд╛рд░ре? рд╢ре? рд?ре?рд▓ рд?рд╛рдпрджре? рд╣ рд?рд╛рдо рд?рд┐рдиреНрдирд╛ рдкрд╣рд▓ре? рд╣рд┐рд?рджре? рд?рд╛ рдлрд┐рд░ рд╣ре? рдерд╛ рд?рд░ рд?ре? рднрд┐рд?рд╛рд░ре? рд╕реНрдерд╛рди рдкрд░ рддреБрдо рд▓ре?рд? рд?ре?рдж рд░рд╣ре? рд╣ре? рд╡рд╣ рднре? рд?рд╛рд▓ре? рд╕реНрдерд╛рди 47 рдоре?рд? рддреБрдореНрд╣ре?рд? рд?рд?рдбрд┐рдпрд╛ рд╕ре? рд╣ре? рднре?рд? рдоре?рд? рдорд┐рд▓рд╛ рдерд╛ рддре? рд?реНрдпрд╛рджрд╛ рд╣ре?рд╢рд┐рдпрд╛рд░ре? рд?рдо рд?рд░ре?
70,@vijetalahre4702,2024-06-14T05:54:29Z,2024-06-14T05:54:29Z,0,"Pakistan ko India k kucha acha nahi lagta lakin song India k sunta h , too song bhi Ku sunta h"
71,@nilamjain1892,2024-06-14T05:53:28Z,2024-06-14T05:53:28Z,0,Bharat main bhi he
72,@a.k7220,2024-06-14T05:51:59Z,2024-06-14T05:51:59Z,0,Jahil hai sare Ё???Ё???Ё???sawal hii galt puch liya inse
73,@ratishnair2826,2024-06-14T05:51:18Z,2024-06-14T05:51:18Z,0,Jahil hi rahenge
74,@user-mp6xm1yu2u,2024-06-14T05:51:18Z,2024-06-14T05:51:18Z,0,Pakistani women are very full mother
75,@sujatadas5148,2024-06-14T05:50:57Z,2024-06-14T05:50:57Z,1,We truly donт??t care either way but feel so sorry for these jahil madrasa chaap ppl with such low levels of IQ
76,@charlesuttangi3942,2024-06-14T05:48:39Z,2024-06-14T05:48:39Z,0,It is in  DNA to hate non Islam
77,@rohanjiraadmin8866,2024-06-14T05:48:24Z,2024-06-14T05:48:24Z,0,Ё??оЁ??│
